ProcedureName,CaseType,NumberOfCases
Rectopexy Laparoscopic,Elective,1
Rectosigmoidectomy ( Altemeier's Proc ) & Peranal Anastomosis,Elective,2
Redo Hiatal Hernia Repair Laparoscopic,Elective,1
Redo Hiatal Hernia Repair Laparoscopic,Emergency,1
Redressing of Skin Using Vacuum Assisted Closure Device Nec,Elective,1
Redressing of Skin Using Vacuum Assisted Closure Device Nec,Emergency,3
Reduction Alveolar Fracture of Mandible,Emergency,1
Reduction Dislocation of Joint - Closed,Emergency,11
Reduction Dislocation of Joint - Open,Elective,7
Reduction Dislocation of Joint - Open,Emergency,1
Reduction Dislocation of Joint - Shoulder,Emergency,1
Reduction Fractured Malar/Zygoma Closed,Elective,1
Reduction Fractured Malar/Zygoma Open,Elective,8
Reduction Fractured Malar/Zygoma Open,Emergency,2
Reduction Fractured Mandible Open,Elective,2
Reduction Fractured Mandible Open,Emergency,22
Reduction Mammoplasty,Elective,2
Reduction Nasal Bones Closed,Elective,8
Reduction of Turbinate of Nose Nec,Elective,3
Re-Excision of Breast Margins,Elective,36
Refashioning Ileostomy,Emergency,1
Refashioning of Colostomy,Emergency,2
Refashioning of Gastric Conduit (Vats),Emergency,1
Reformation of Anterior Chamber of Eye,Elective,1
Release Contracture and Z Plasty,Elective,9
Release Contracture and Z Plasty Head and Neck,Elective,1
Release Contracture of Joint - Other Specified,Elective,5
Release Contracture of Skin,Elective,2
Release Fasciotomy Anterior Compartment Lower Leg,Elective,1
Release Fasciotomy Anterior Compartment Lower Leg,Emergency,1
Release Golfer's Elbow (Medial Release),Elective,1
Release Sterno-Mastoid Muscle,Elective,2
Release Syndactyly,Elective,1
Release Tendon,Elective,7
Release Tendon,Emergency,1
Release Tennis Elbow (Lateral Release),Elective,5
Release Trigger Finger,Elective,16
Release Trigger Finger,Emergency,1
Release Trigger Thumb,Elective,6
Release/Excision Bxo and Graft/Matriderm,Elective,1
Rem Foreign Body From Conjunctiva,Elective,1
Removal / Avulsion of Nail,Elective,22
Removal / Avulsion of Nail,Emergency,3
Removal Breast Prosthesis,Elective,20
Removal Central Venous Catheter,Elective,2
Removal Dorsal Column Stimulator,Elective,2
Removal Drain,Emergency,2
Removal External Fixation of Bone,Elective,37
Removal External Fixation of Bone,Emergency,4
Removal Femoral Graft Inc Popliteal,Emergency,1
Removal Fixation From Bone of Face,Elective,4
Removal Fixation From Mandible,Elective,8
Removal Fixation From Mandible,Emergency,1
Removal Flap of Skin,Elective,1
Removal Foreign Body Ear,Elective,11
Removal Foreign Body Ear,Emergency,5
Removal Foreign Body From Bladder Endoscopic,Elective,1
Removal Foreign Body From Eye,Elective,1
Removal Foreign Body From Eye,Emergency,1
Removal Foreign Body From Foot,Elective,5
Removal Foreign Body From Foot,Emergency,8
Removal Foreign Body From Larynx Endoscopic,Emergency,1
Removal Foreign Body From Oesophagus Fibreoptic (Upper G.I.),Emergency,4
Removal Foreign Body From Orbit,Elective,1
Removal Foreign Body From Pharynx Endoscopic,Emergency,4
Removal Foreign Body From Rectum (Manual),Emergency,4
Removal Foreign Body From Skin,Elective,11
Removal Foreign Body From Skin,Emergency,2
Removal Foreign Body Hand,Elective,18
Removal Foreign Body Hand,Emergency,11
Removal Foreign Body Nose,Elective,4
Removal Foreign Body Nose,Emergency,9
Removal Foreign Body Skin - Head or Neck,Elective,1
Removal Foreign Body Skin - Head or Neck,Emergency,2
Removal Foreign Body Vagina,Emergency,2
Removal Grommet,Elective,2
Removal Hickman Line,Elective,4
Removal Hickman Line,Emergency,3
Removal Internal Fixation of Bone,Elective,31
Removal Intra-Ocular Implant,Elective,1
Removal Intrauterine Contraceptive Device,Elective,7
Removal Intrauterine Contraceptive Device,Emergency,1
Removal Metal Work,Elective,134
Removal Metal Work,Emergency,20
Removal of Freka Feeding Tube,Elective,2
Removal of Gastric Band Laparoscopic,Elective,7
Removal of Nail Spicule,Elective,1
Removal of Neurostimulator Adjcent to Spinal Cord,Elective,4
Removal of Picc Line,Emergency,1
Removal of Septal Button,Elective,1
Removal of Taylor Spacial Frame,Elective,3
Removal of Tunnelled Central Venous Catheter,Elective,3
Removal of Vagal Nerve Stimulator,Elective,2
Removal Port-A-Cath,Elective,2
Removal Retained Placenta,Emergency,1
Removal Silcone Oil From Vitreous Body,Elective,15
Removal Sternal Wires,Elective,3
Removal Suture From Cornea,Elective,8
Removal Suture From Eye,Elective,2
Removal Suture From Skin,Elective,2
Removal Suture From Skin Head or Neck,Elective,1
Removal Testicular Prosthesis,Elective,1
Removal Tissue Expander,Emergency,1
Removal Tube From Nasolacrimal Duct,Elective,1
Removal Ureteric Stent Endoscopic,Elective,109
Removal Ureteric Stent Endoscopic,Emergency,3
Removal Urethral Catheter,Emergency,1
Removal Wax From Ear,Elective,3
Re-Opening of Abdomen & Re-Exploration of Intra-Abdominal Op Site Nec,Emergency,1
Rep Aortic Aneurysm Plus Anastomosis (Emergency),Emergency,15
Rep Aortic Aneurysm Plus Anastomosis (Routine),Elective,23
Rep Aortic Bifurcated Aneurysm Plus Anastomosis (Emergency),Emergency,2
Rep Aortic Bifurcated Aneurysm Plus Anastomosis (Routine),Elective,10
Rep Aortic Bifurcated Aneurysm Plus Anastomosis (Routine),Emergency,1
Repair / Ligate Av Fistula - Acquired,Elective,1
Repair / Ligate Av Fistula - Acquired,Emergency,2
Repair Achilles Tendon,Elective,1
Repair Achilles Tendon,Emergency,4
Repair Aneurysm of Subclavian Artery,Elective,1
Repair Artery Using Vein Graft,Emergency,2
Repair Capsule Anterior Labrum for Stabilisation of Glenohumer Joint,Elective,2
Repair Capsule Anterior Posterior Labrum for Stab of Glenohumer Joint,Elective,2
Repair Capsule of Joint - Stabilisation,Elective,2
Repair Chest Wall,Elective,1
Repair Choanal Atresia,Elective,1
Repair Conjunctiva (Specified),Elective,2
Repair Conjunctiva (Specified),Emergency,1
Repair Cornea - Other Specified,Emergency,1
Repair Cornea - Other Specified,Unknown,1
Repair Epigastric Hernia,Elective,6
Repair Epigastric Hernia,Emergency,2
Repair Epigastric Hernia Using Mesh,Elective,6
Repair Exomphalos,Emergency,2
Repair False Aneurysm - Femoral,Elective,1
Repair False Aneurysm - Femoral,Emergency,7
Repair False Aneurysm of Artery,Emergency,4
Repair Femoral Aneurysm (Emergency),Emergency,1
Repair Femoral Hernia Using Mesh,Elective,2
Repair Femoral Hernia Using Mesh,Emergency,2
Repair Femoral Hernia Using Mesh - Laparoscopic,Elective,1
Repair Femoral Hernia Using Mesh - Laparoscopic,Emergency,1
Repair Femoral Hernia With Sutures,Elective,1
Repair Femoral Hernia With Sutures,Emergency,12
Repair Gastroschisis,Emergency,2
Repair Globe,Emergency,5
Repair Hernia of Abdominal Wall - Other Specified,Elective,1
Repair Hiatal Hernia Laparoscopic,Elective,7
Repair Hiatal Hernia Laparoscopic,Emergency,1
Repair Hypospadias,Elective,11
Repair Hypospadias - 1 Stage,Elective,11
Repair Hypospadias - 2Ndstage,Elective,2
Repair Hypospadias - Bracka 1St Stage,Elective,4
Repair Hypospadias - Bracka 2Nd Stage,Elective,2
Repair Iliac Aneurysm - Elective,Elective,1
Repair Incisional Hernia Plus Mesh - Laparoscopic,Elective,6
Repair Incisional Hernia Plus Mesh - Laparoscopic,Emergency,1
Repair Incisional Hernia Unspecified,Elective,1
Repair Incisional Hernia Unspecified,Emergency,3
Repair Incisional Hernia With Mesh,Elective,7
Repair Incisional Hernia With Mesh,Emergency,1
Repair Incisional Hernia With Sutures,Elective,2
Repair Incisional Hernia With Sutures,Emergency,8
Repair Inguinal Hernia - Recurrent - (Laparoscopic) Plus Mesh,Elective,3
Repair Inguinal Hernia - Recurrent - Sutures,Elective,1
Repair Inguinal Hernia - Recurrent - Sutures,Emergency,1
Repair Inguinal Hernia - Recurrent - With Mesh,Elective,1
Repair Inguinal Hernia - Recurrent - With Mesh,Emergency,4
Repair Inguinal Hernia (Laparoscopic) Plus Sutures,Elective,6
Repair Inguinal Hernia (Laparoscopic) With Mesh,Elective,37
Repair Inguinal Hernia (Laparoscopic) With Mesh,Emergency,4
Repair Inguinal Hernia With Mesh,Elective,37
Repair Inguinal Hernia With Mesh,Emergency,41
Repair Inguinal Hernia With Sutures,Elective,38
Repair Inguinal Hernia With Sutures,Emergency,20
Repair Inguinal Hernia With Sutures,Unknown,1
Repair Labia,Elective,1
Repair Mohs Defect Head/Neck With Local Flap and Skin Graft,Elective,10
Repair Muscle,Elective,1
Repair Nail Bed,Elective,62
Repair Nail Bed,Emergency,69
Repair Nerve Peripheral Microsurgical Primary,Emergency,1
Repair Nerve Peripheral Primary (Digital Nerve),Elective,1
Repair Nerve Peripheral Primary (Digital Nerve),Emergency,2
Repair of Palate - Other Specified,Elective,1
Repair of Varicocele,Elective,1
Repair Orbital Fracture,Elective,1
Repair Orbital Fracture With Implant & Screw,Elective,2
Repair Parastomal Hernia,Emergency,1
Repair Parastomal Hernia Plus Mesh - Laparoscopic,Elective,4
Repair Parastomal Hernia Using Mesh Open,Elective,3
Repair Paraumbilical Hernia Laparoscopic,Elective,3
Repair Paraumbilical Hernia Laparoscopic,Emergency,1
Repair Paraumbilical Hernia Using Sutures,Elective,1
Repair Paraumbilical Hernia Using Sutures,Emergency,3
Repair Popliteal Aneurysm - Emergency,Emergency,2
Repair Quadriceps Tendon - Primary,Elective,6
Repair Quadriceps Tendon - Primary,Emergency,17
Repair Radial Artery,Emergency,1
Repair Rectocele - Perineal,Elective,3
Repair Retinal Detachment,Elective,16
Repair Retinal Detachment,Emergency,6
Repair Retinal Detachment - Cryotherapy,Emergency,1
Repair Rotator Cuff Shoulder,Elective,27
Repair Rotator Cuff Shoulder,Emergency,4
Repair Ruptured Diaphragm,Emergency,1
Repair Ruptured Oesophagus,Unknown,1
Repair Ruptured Tendon,Elective,5
Repair Ruptured Tendon,Emergency,7
Repair Sclera,Elective,1
Repair Spigelian Hernia,Elective,2
Repair Spigelian Hernia,Emergency,1
Repair Tendon Extensor Primary,Elective,15
Repair Tendon Extensor Primary,Emergency,2
Repair Tendon Extensor With Graft Primary,Elective,1
Repair Tendon Extensor With Graft Primary,Emergency,1
Repair Tendon Flexor Primary,Elective,7
Repair Tendon Flexor Primary,Emergency,7
Repair Tendon Primary,Elective,8
Repair Tendon Primary,Emergency,15
Repair Tendon Secondary,Elective,2
Repair Tendon Using Button,Elective,2
Repair Tendon Using Button,Emergency,3
Repair Tendon Using Tendon Transfer - Primary,Elective,2
Repair Ulnar-Collateral Ligament,Elective,9
Repair Umbilical Hernia Using Mesh,Elective,7
Repair Umbilical Hernia Using Mesh,Emergency,8
Repair Umbilical Hernia Using Mesh Laparoscopic,Elective,1
Repair Umbilical Hernia Using Mesh Laparoscopic,Emergency,1
Repair Umbilical Hernia With Sutures,Elective,27
Repair Umbilical Hernia With Sutures,Emergency,18
Repair Ventral Hernia Plus Mesh Laparoscopic,Elective,1
Repair Ventral Hernia Using Mesh,Elective,1
Repair Vesico-Vaginal Fistula,Elective,1
Replacement Ankle Joint,Elective,1
Replacement Head of Femur - Prosthetic Primary,Emergency,1
Replacement of Intrauterine Contraceptive Device,Elective,1
Replacement Radial Head,Elective,3
Replacement Radial Head,Emergency,3
Replantation Finger,Emergency,2
Replantation Thumb,Emergency,2
Repositioning of Iol,Elective,5
Repositioning of Iol,Unknown,1
Reprogramming of Neurostimulator Adjacent to Spinal Cord,Elective,1
Resection Endometrium Endoscopic,Elective,1
Resection Fibroids Endoscopic,Elective,4
Resection Muscle Eye - Other Specified,Elective,2
Resection Small Bowel,Elective,8
Resection Small Bowel,Emergency,1
Resuturing Abdominal Wound,Elective,1
Resuturing of Wound,Elective,1
Retrograde Pyelography Endoscopic,Elective,5
Retrograde Pyelography Endoscopic,Emergency,1
Revascularisation Limb,Emergency,2
Reversal of Hartmanns,Elective,3
Reversal of Hartmanns Laparoscopic,Elective,2
Reverse Polarity Shoulder Replacement,Elective,90
Reverse Polarity Shoulder Replacement,Emergency,9
Revision Amputation Stump,Elective,9
Revision Amputation Stump,Emergency,1
Revision Anastomosis of Ileum,Emergency,1
Revision Arthrodesis,Elective,1
Revision Arthrodesis Plus Int Fixation,Elective,1
Revision A-V. Fistula,Elective,3
Revision A-V. Fistula,Emergency,2
Revision Carpal Tunnel Decompression,Elective,4
Revision Decompression Lumbar Spine,Elective,9
Revision Decompression Lumbar Spine,Emergency,2
Revision Discectomy Lumbar - Posterior,Elective,1
Revision Discectomy Lumbar - Posterior,Emergency,2
Revision Flap to Head or Neck,Elective,4
Revision Fusion Toe,Elective,1
Revision Hemi Arth to Girdlestones,Emergency,2
Revision Hemi Arthroplasty,Emergency,2
Revision Hip Replacement,Elective,56
Revision Hip Replacement,Emergency,20
Revision Hip Replacement Cemented,Emergency,1
Revision Hip to Hybrid Total Hip Replacement,Elective,5
Revision Hip to Hybrid Total Hip Replacement,Emergency,1
Revision Hip to Restoration Total Hip Replacement,Elective,4
Revision Hip to Restoration Total Hip Replacement,Emergency,3
Revision Hypospadias,Elective,2
Revision Internal Fixation Bone - Plating,Elective,3
Revision Internal Fixation Bone - Plating,Emergency,2
Revision Knee Genesis Ii Total Knee Replacement,Elective,3
Revision Knee Genesis Ii Total Knee Replacement,Emergency,1
Revision Knee Replacement - Details in Comments Please,Elective,7
Revision Knee Replacement - Details in Comments Please,Emergency,2
Revision Knee to Legion Total Knee Replacement,Elective,7
Revision Knee to Mrh Total Knee Replacement,Emergency,1
Revision Lens Implant,Elective,7
Revision Myringoplasty,Elective,1
Revision of Total Prosthetic Replacement of Elbow Joint Using Cement,Elective,2
Revision Polypectomy Nasal (Fess),Elective,1
Revision Posterior Decompression of Lumbar Spine,Elective,4
Revision Posterior Decompression of Lumbar Spine,Emergency,1
Revision Reconsruction of Breast,Elective,2
Revision Scar,Elective,41
Revision Shoulder Replacement Not Using Cement,Elective,1
Revision Shoulder Replacement Not Using Cement,Emergency,1
Revision Shoulder Replacement Using Cement,Emergency,2
Revision Skin Flap,Elective,1
Revision Tracheostomy,Emergency,1
Revision Uni Knee to Total Knee Replacement,Elective,6
Revision Urostomy Stoma,Elective,1
Rib Resection - Non Thoracic,Elective,1
Rib Resection - Non Thoracic,Emergency,1
Rib Resection - Thoracic,Elective,2
Right Hemicolectomy,Elective,7
Right Hemicolectomy,Emergency,10
Right Hemicolectomy and Anastomosis Nec,Emergency,1
Right Hemicolectomy and Ileostomy Hfq,Elective,1
Right Hemicolectomy and Side to Side Anastomosis of Ileum to Transverse,Emergency,1
Right Hemicolectomy Laparoscopic,Elective,44
Right Hemicolectomy Laparoscopic,Emergency,6
Rim Resection of Mandible,Emergency,1
Robot Assist Abdominoperineal Exc of Rectum and Formation of Colostomy,Elective,7
Robot Assisted Adrenalectomy Unilateral,Elective,22
Robot Assisted Appendicectomy Laparoscopic,Elective,2
Robot Assisted Biopsy Mediastinal Lymph Node,Elective,4
Robot Assisted Biopsy Mediastinal Mass,Elective,1
Robot Assisted Bi-Segmentectomy (Excision of Segment of Lung),Elective,6
Robot Assisted Block Dissection of Inguinal Lymph Nodes,Elective,1
Robot Assisted Block Dissection of Pelvic Lymph Nodes,Elective,2
Robot Assisted Bullectomy,Elective,2
Robot Assisted Cystectomy Bladder,Elective,13
Robot Assisted Excision Lesion Chest Wall,Elective,1
Robot Assisted Excision Mediastinal Mass,Elective,12
Robot Assisted Excision of Segment of Lung (Vats),Elective,23
Robot Assisted Formation Ileal Conduit,Elective,1
Robot Assisted Hiatal Hernia Repair Laparoscopic,Elective,4
Robot Assisted High Anterior Resection,Elective,23
Robot Assisted Hysterectomy Total Lap Inc Salpingo Oophrectomy Uni,Elective,6
Robot Assisted Hysterectomy Total Laparoscopic,Elective,5
Robot Assisted Hysterectomy Total Lapraoscopic Inc Bso,Elective,101
Robot Assisted Ileo-Colic Resection,Elective,1
Robot Assisted Laparoscopic Cystoprostatectomy,Elective,35
Robot Assisted Left Hemicolectomy,Elective,4
Robot Assisted Left Hemicolectomy,Emergency,1
Robot Assisted Lingulectomy Excision of Segment of Lung,Elective,2
Robot Assisted Lobectomy Lower,Elective,20
Robot Assisted Lobectomy Lower,Emergency,1
Robot Assisted Low Anterior Resection,Elective,1
Robot Assisted Low Anterior Resection and (Tme),Elective,13
Robot Assisted Lung Biopsy,Elective,1
Robot Assisted Lymphadenectomy,Elective,2
Robot Assisted Middle Lobectomy (Vats),Elective,8
Robot Assisted Mucosectomy,Elective,8
Robot Assisted Pleural Biopsy,Elective,6
Robot Assisted Radical Cystoprostatectomy,Elective,14
Robot Assisted Rectopexy,Elective,4
Robot Assisted Repair of Para Oesophageal Hernia,Elective,3
Robot Assisted Resection of Paraspinal Mass,Elective,1
Robot Assisted Resection of Sympathetic Chain,Elective,1
Robot Assisted Right Extended Hemicolectomy,Elective,3
Robot Assisted Right Hemicolectomy,Elective,20
Robot Assisted Tonsillectomy,Elective,12
Robot Assisted Upper Lobectomy,Elective,2
Robot Assisted Video Assisted Lobectomy of Lung (Rats),Elective,31
Robot Assisted Wedge Resection of Gist,Elective,1
Robot Assisted Wedge Resection of Lung,Elective,12
Roll Wide Local Excision Breast,Elective,68
Sacrocolpopexy,Elective,2
Sagittal Split Osteotomy,Elective,7
Salpingectomy Unilateral,Emergency,3
Salpingectomy Unilateral Laparoscopic,Emergency,24
Salpingo-Oophorectomy Laparoscopic Unilateral,Elective,18
Salpingo-Oophorectomy Laparoscopic Unilateral,Emergency,1
Salters Osteotomy - Pelvic (Orif),Emergency,1
Sapheno Femoral Disconnection,Elective,2
Scalenectomy,Elective,2
Scarff Osteotomy (Foot),Elective,6
Scleral Fixated Intra Ocular Lens,Elective,1
Sclerotherapy to Varicose Veins of Leg (Injection),Elective,5
Second Stage Insertion of Fixtures for Bone Anchored Hearing Prosthesis,Elective,3
Segmental Colectomy,Elective,1
Selective Denervation of Peripheral Nerve,Elective,4
Separation Tarsal Coalition,Elective,2
Septoplasty,Elective,121
Septoplasty,Emergency,1
Septoplasty (Fess),Elective,7
Septorhinoplasty (Graft),Elective,9
Septorhinoplasty (Implant),Elective,5
Septorhinoplasty (No Graft/Implant),Elective,21
Shave Biopsy Lesion Eye,Elective,8
Shave Biopsy Nose,Elective,3
Shave Excision Lesion of Skin,Elective,5
Shave Excision Lesion of Skin Head or Neck,Elective,12
Shave Skin of Nose,Elective,1
Shortening of Amputation Stump,Elective,1
Shortening of Bone (Orif),Elective,4
Sialendoscopy,Elective,7
Sigmoid Colectomy and Anastomosis Laparoscopic,Elective,2
Sigmoid Colectomy and Anastomosis Nec,Emergency,1
Sigmoid Colectomy and Anastomosis of Colon to Rectum,Elective,1
Sigmoid Colectomy and Ileostomy Hfq,Emergency,1
Simple Extraction Multiple Teeth,Elective,204
Simple Extraction Multiple Teeth,Emergency,24
Simple Extraction Multiple Teeth,Unknown,1
Simple Extraction of Single Tooth,Elective,43
Simple Extraction of Single Tooth,Emergency,12
Sling for Facial Palsy,Elective,1
Snodgrass Hypospadias Repair,Elective,16
Snodgrass Hypospadias Repair,Emergency,1
Splenectomy Laparoscopic,Elective,2
Splenectomy Laparoscopic,Emergency,1
Split Skin Graft to Defect,Elective,7
Split Skin Graft to Defect,Emergency,14
Split Skin Graft to Defect Head or Neck,Elective,2
Spot Weld Nasal Valve,Elective,1
Stabilisation Ankle,Elective,1
Stabilisation of Joint - Other Specified,Elective,7
Stabilisation of Joint - Other Specified,Emergency,1
Stabilisation Shoulder,Elective,12
Stabilisation Shoulder,Emergency,1
Stapedectomy - Laser,Elective,3
Stapedectomy Revision,Elective,1
Stapling Pharyngeal Pouch,Elective,6
Stellate Ganglion Block (La) (Sympathetic Nerve),Elective,2
Strictureplasty Small Bowel,Elective,1
Stripping Long Saphenous Vein,Elective,1
Sub Mucous Diathermy,Elective,3
Sub Talar Fusion,Elective,9
Subtotal Colectomy,Elective,1
Subtotal Colectomy,Emergency,4
Subtotal Colectomy - Laparoscopic,Elective,2
Subtotal Colectomy - Laparoscopic,Emergency,9
Subtotal Gastrectomy (Roux En y Reconstruction),Elective,2
Suction Clearance Mastoid Cavity,Elective,1
Suprapubic Catheter Insertion,Elective,19
Suprapubic Catheter Insertion,Emergency,6
Suprascapular Nerve Block,Elective,12
Suprascapular Nerve Block,Emergency,1
Surgical Removal of Impacted Tooth,Elective,29
Surgical Removal of Impacted Tooth,Emergency,1
Surgical Removal of Impacted Wisdom Teeth,Elective,56
Surgical Removal of Impacted Wisdom Teeth,Emergency,1
Surgical Removal of Multiple Teeth,Elective,76
Surgical Removal of Multiple Teeth,Emergency,12
Surgical Removal of Retained Root of Tooth,Elective,10
Surgical Removal of Tooth,Elective,42
Surgical Removal of Tooth,Emergency,4
Surgical Removal of Wisdom Tooth,Elective,42
Surgical Removal of Wisdom Tooth,Emergency,2
Suture Cornea,Elective,1
Suture Cornea,Emergency,1
Suture Eyelid,Elective,2
Suture Eyelid,Emergency,1
Suture Eyelid,Unknown,1
Suture Hand Primary,Elective,2
Suture Hand Primary,Emergency,1
Suture Laceration Primary,Elective,7
Suture Laceration Primary,Emergency,18
Suture Lacerations Face / Head,Elective,1
Suture Lacerations Face / Head,Emergency,38
Suture Lacerations Face / Head,Unknown,2
Suture Lip,Elective,1
Suture Lip,Emergency,35
Suture Lip,Unknown,1
Suture Mouth,Emergency,1
Suture Nose,Emergency,1
Suture of Eyebrow,Elective,1
Suture of Eyebrow,Emergency,2
Suture of Tongue,Emergency,4
Suture Scrotum,Emergency,1
Suture Skin Head or Neck Primary,Emergency,1
Suture Skin Primary,Elective,1
Suture Vaginal Tear,Emergency,1
Suturing of Sclera,Elective,1
Swansons Finger Joints,Elective,28
Swansons Finger Joints,Emergency,1
Sympathetic Block (Local),Elective,1
Sympathetic Block (Local),Emergency,1
Synovectomy (Inc Partial Synovectomy),Elective,1
Syringing of Nasolacrymal Duct,Elective,1
Tag Guided Wide Local Excision Breast,Elective,109
Tarso Conjunctival Diamond,Elective,2
Tarsorraphy,Elective,8
Tattooing of Cornea,Elective,1
Tems Resection Rectal Tumour,Elective,10
Tenolysis Primary,Elective,6
Tenosynovectomy,Elective,1
Tenotomy,Elective,10
Terminalisation Finger,Elective,30
Terminalisation Finger,Emergency,7
Terminalisation Thumb,Elective,3
Therapeutic Mammoplasty,Elective,22
Thinning of Flap,Elective,5
Thoracic Endovascular Aneurysm Repair (Tevar),Elective,2
Thoracic Endovascular Aneurysm Repair (Tevar),Emergency,10
Thoracic Procedure for Attention,Elective,4
Thoracic Procedure for Attention,Emergency,1
Thoracic Sympathectomy,Elective,1
Thoracoscopic Excision Mediastinal Mass,Elective,4
Thoracoscopic Wedge Resection of Lung,Elective,38
Thoracoscopic Wedge Resection of Lung,Emergency,3
Thoracoscopy (Standard),Elective,3
Thoracoscopy (Standard),Emergency,5
Thoracoscopy and Pleurodesis Chemical - Talc,Elective,1
Thoracoscopy and Pleurodesis Chemical - Talc,Emergency,3
Thoracoscopy and Pleurodesis Chemical - Talc,Unknown,2
Thoracoscopy Lung Biopsy (Video Assisted),Elective,3
Thoracoscopy Lung Biopsy (Video Assisted),Emergency,1
Thoracoscopy Lung Volume Robot Assisted,Elective,5
Thoracoscopy Pleural Biopsy (Video Assisted),Elective,15
Thoracoscopy Pleural Biopsy (Video Assisted),Emergency,2
Thoracotomy,Elective,2
Thoracotomy,Emergency,4
Thrombectomy of Vein - Open - Other Specified,Emergency,1
Thrombectomy Vein of Lower Limb - Open,Emergency,1
Thymectomy Robot Assisted,Elective,9
Thymectomy Thoracoscopic,Elective,1
Thymectomy Trans-Sternal,Elective,2
Thyroid Lobectomy,Elective,22
Thyroidectomy Total,Elective,38
Thyroidectomy Total,Emergency,2
Tonsillectomy,Elective,249
Tonsillectomy,Emergency,1
Tonsillectomy for Quinsy,Elective,2
Total Cholecystectomy and Exploration of Common Bile Duct,Elective,1
Total Cholecystectomy and Exploration of Common Bile Duct,Emergency,1
Total Cholecystectomy Nec (Open),Elective,1
Total Colectomy and Ileostomy Nec,Elective,1
Total Gastrectomy Oesphago-Jejunostomy (Roux En Y),Elective,2
Total Hip Replacement - Not Named,Elective,2
Total Hip Replacement - Not Named,Emergency,4
Total Prosthetic Replacement of Other Joint,Elective,1
Total Shoulder Replacement Not Using Cement,Elective,3
Total Shoulder Replacement Using Cement,Elective,3
Trabeculectomy,Elective,15
Trabeculectomy Plus Injection 5 Fu,Elective,1
Trabeculectomy Plus Mytomycin,Elective,22
Tracheostomy Permanent,Emergency,4
Tracheostomy Temporary,Emergency,16
Transdermal Administration of Theraputic Substance (Qutenza Patch),Elective,330
Transfer Tendon,Elective,11
Transfer Tendon,Emergency,1
Transfer Tendon to Tendon,Elective,3
Transforaminal Epidural (Tfesi),Elective,71
Transposition Ulnar Nerve,Elective,2
Transurethral Radiofrequency Needle Ablation of Prostate Using Rezum End,Elective,10
Trial of Labour Cat 2 - No Immediate Threat of Life of Woman or Fetus,Emergency,1
Trimming of Turbinates,Elective,6
Triple Arthrodesis Hindfoot (Orif),Elective,14
Trochleoplasty,Elective,5
Tympanoplasty Cartilage,Elective,4
Tympanoplasty Combined Approach,Elective,3
Tympanoplasty Using Graft,Elective,7
Tympanotomy,Elective,7
Ultrasound Scan,Elective,3
Uncinectomy - Fess,Elective,1
Unilateral Salpingo-Oophorectomy Nec,Elective,3
Unilateral Salpingo-Oophorectomy Nec,Emergency,2
Unitrax Hemiarthroplasty,Elective,49
Unitrax Hemiarthroplasty,Emergency,224
Ureteric Reimplant Unilateral,Elective,3
Ureteroscopic Extraction of Calculus of Ureter - (No Disintegration),Elective,3
Ureteroscopic Fragmentation of Calculus of Ureter Nec,Elective,2
Ureteroscopic Laser Fragmentation of Calculus of Ureter,Elective,39
Ureteroscopic Laser Fragmentation of Calculus of Ureter,Emergency,3
Ureteroscopy - Flexible,Elective,22
Ureteroscopy - Flexible,Emergency,1
Ureteroscopy and Biopsy Ureter,Elective,23
Ureteroscopy and Biopsy Ureter,Emergency,1
Ureteroscopy Diagnostic Simple,Elective,19
Ureteroscopy Diagnostic Simple,Emergency,5
Ureteroscopy Rigid,Elective,41
Ureteroscopy Rigid,Emergency,1
Urethral Catheterisation,Elective,6
Urethral Catheterisation,Emergency,2
Urethral Catheterisation,Unknown,1
Urethral Dilatation (Rigid Dilators),Elective,21
Urethral Dilatation Endoscopic,Elective,4
Urethral Dilatation Endoscopic Optilume,Elective,7
Urethrectomy Total,Elective,2
Urethroplasty,Elective,5
Urethroplasty Plus Buccal Mucosa Patch,Elective,4
Urethroscopy - Check,Elective,7
Urethroscopy Diagnostic,Elective,17
Urethroscopy Diagnostic and Biopsy,Elective,1
Urethrostomy Perineal,Elective,2
Urethrotomy Optical,Elective,16
Urinary Diversion (Unspecified),Elective,3
Uvulectomy,Elective,3
Vaginal Hysterectomy,Elective,79
Vaginal Hysterectomy and Anterior Repair,Elective,11
Vaginal Hysterectomy and Anterior/Posterior Repair,Elective,6
Vaginal Hysterectomy and Posterior Repair,Elective,1
Vaginal Hysterectomy Laparoscopically Assisted,Elective,3
Vaginal Repair Anterior,Elective,22
Vaginal Repair Anterior and Posterior,Elective,31
Vaginal Repair Posterior,Elective,35
Vaginal Termination of Pregnancy Suction,Elective,1
Vascular Procedure for Attention,Emergency,6
Vascular Ultrasound,Elective,1
Vasectomy for Contraceptionand Bil,Elective,10
Vats Excision of A Paraspinal Mass,Elective,1
Vats Excision of Mediastinal Cyst Endoscopic,Elective,3
Vats Excision of Paracardiac Mass,Elective,1
Vats Lingulectomy (Excision of Segment of Lung),Elective,1
Vats Long Term Drain Insertion,Elective,1
Vats Tri-Segmentectomy (Excision of Segment of Lung),Elective,1
Venous Sampling,Elective,7
Vertebroplasty,Elective,4
Video Assisted Lobectomy of Lung (Vats),Elective,4
Video Endoscopic Inguinal Lymph Node Dissection (Velind),Elective,2
